Class Name;ATFD;CBO;DAC;DIT;LCOM;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
com.amaze.filemanager.ui.activities.superclasses.PermissionsActivity;0;10;1;12;1;37;39;0;5;130;755;1;6;734;1;0;30;0.5333;1.0;13
com.amaze.filemanager.ui.activities.superclasses.PermissionsActivity.OnPermissionGranted;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.ui.activities.superclasses.PreferenceActivity;2;18;1;10;1;6;35;1;4;126;734;1;5;716;1;0;10;0.4;0.8;8
com.amaze.filemanager.ui.activities.superclasses.ThemedActivity;14;37;0;11;2;176;204;0;9;126;746;6;12;728;3;0;62;0.0455;1.0;83
com.amaze.filemanager.ui.activities.texteditor.TextEditorActivity;8;27;9;12;3;274;288;0;16;142;788;0;23;755;7;5;170;0.2806;1.0;75
com.amaze.filemanager.ui.colors.ColorPreference;1;2;1;1;0;0;0;0;0;1;13;0;0;12;0;0;0;0.0;0.0;0
com.amaze.filemanager.ui.colors.ColorPreferenceHelper;3;15;2;1;3;50;40;0;8;7;27;0;8;20;0;0;22;0.2857;1.0;19
com.amaze.filemanager.ui.colors.ColorUtils;2;6;0;1;1;17;29;0;1;0;13;0;1;13;0;0;3;0.0;1.0;10
com.amaze.filemanager.ui.dialogs.ColorPickerDialog;0;17;5;4;1;5;93;1;6;115;353;0;8;268;2;0;56;0.3214;0.875;25
com.amaze.filemanager.ui.dialogs.ColorPickerDialog.ColorItemPair;0;1;0;2;0;1;1;0;0;2;19;0;1;18;0;0;2;0.0;0.0;1
com.amaze.filemanager.ui.dialogs.ColorPickerDialog.OnAcceptedConfig;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.ui.dialogs.ColorPickerDialog.SavedState;0;0;1;3;1;5;7;0;0;7;27;0;3;25;1;1;8;0.0;1.0;3
com.amaze.filemanager.ui.dialogs.GeneralDialogCreation;23;56;1;1;4;482;587;0;26;1;39;0;26;38;0;0;257;0.2185;1.0;112
com.amaze.filemanager.ui.dialogs.GeneralDialogCreation.SizeFormatter;0;2;1;1;1;4;3;0;1;1;16;0;2;15;0;0;4;0.0;1.0;4
com.amaze.filemanager.ui.dialogs.RenameBookmark;0;9;3;3;3;69;72;0;1;15;157;0;3;155;2;0;52;0.0;1.0;12
com.amaze.filemanager.ui.dialogs.RenameBookmark.BookmarkCallback;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.ui.dialogs.SmbConnectDialog;8;16;4;3;2;191;219;0;3;19;163;0;5;157;2;0;94;0.1;1.0;47
com.amaze.filemanager.ui.dialogs.SmbConnectDialog.SmbConnectionListener;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.ui.dialogs.SmbSearchDialog;1;10;4;3;1;4;48;0;0;16;158;0;3;155;3;0;27;0.6667;1.0;12
com.amaze.filemanager.ui.dialogs.SmbSearchDialog.ElementViewHolder;1;3;3;2;0;4;5;0;0;37;77;0;1;55;0;0;3;0.0;0.0;1
com.amaze.filemanager.ui.dialogs.SmbSearchDialog.ListViewAdapter;6;9;2;2;2;29;37;0;3;6;54;0;6;48;2;0;26;0.5;1.0;14
com.amaze.filemanager.ui.dialogs.share.ShareAdapter;2;4;3;2;5;15;10;0;4;7;55;0;6;48;1;0;13;0.0;1.0;6
com.amaze.filemanager.ui.dialogs.share.ShareAdapter.ViewHolder;3;3;3;2;1;14;12;0;1;36;77;0;2;56;0;0;12;0.0;1.0;5
com.amaze.filemanager.ui.dialogs.share.ShareTask;8;6;3;2;1;55;70;0;3;9;39;0;5;33;1;0;44;0.3333;1.0;17
com.amaze.filemanager.ui.fragments.AppsListFragment;17;26;7;2;2;138;99;0;9;72;288;0;14;228;5;0;112;0.2418;1.0;28
com.amaze.filemanager.ui.fragments.CloudSheetFragment;0;20;3;5;3;76;80;0;2;99;338;0;5;262;3;0;45;0.1;1.0;17
com.amaze.filemanager.ui.fragments.CloudSheetFragment.CloudConnectionCallbacks;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.ui.fragments.DbViewerFragment;6;9;7;2;1;35;26;0;0;70;271;0;3;213;3;2;22;0.6667;1.0;5
com.amaze.filemanager.ui.fragments.MainFragment;14;72;20;2;6;939;999;0;47;85;342;0;54;269;7;4;409;0.4242;1.0;262
com.amaze.filemanager.ui.fragments.ProcessViewerFragment;0;22;9;2;1;6;168;0;6;88;296;0;10;220;4;0;98;0.4444;1.0;35
com.amaze.filemanager.ui.fragments.ProcessViewerFragment.CustomServiceConnection;0;4;2;1;2;6;17;0;2;3;22;0;3;19;0;0;9;0.0;1.0;5
com.amaze.filemanager.ui.fragments.SearchWorkerFragment;1;5;3;2;1;22;17;0;0;70;272;0;4;214;4;1;18;1.0;1.0;4
com.amaze.filemanager.ui.fragments.SearchWorkerFragment.HelperCallbacks;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.ui.fragments.TabFragment;15;30;13;2;2;93;216;1;14;80;298;0;17;230;3;3;115;0.4926;0.9412;76
com.amaze.filemanager.ui.fragments.TabFragment.ScreenSlidePagerAdapter;2;1;0;3;1;4;9;0;2;15;58;0;4;49;1;0;8;1.0;1.0;5
com.amaze.filemanager.ui.fragments.preference_fragments.PrefFrag;16;18;4;3;2;209;171;0;3;80;318;0;6;255;3;0;99;0.2667;1.0;44
com.amaze.filemanager.ui.fragments.preference_fragments.PreferencesConstants;0;27;1;1;0;0;0;0;0;62;74;0;0;12;0;0;0;0.0;0.0;0
com.amaze.filemanager.ui.icons.Icons;1;8;1;1;1;32;72;0;5;19;36;0;5;17;0;0;15;0.2;1.0;30
com.amaze.filemanager.ui.icons.MimeTypes;1;7;2;1;2;85;91;0;3;2;17;N/A;3;15;0;0;17;0.0;1.0;10
com.amaze.filemanager.ui.notifications.FtpNotification;8;6;0;1;1;34;31;0;4;0;16;0;4;16;0;0;34;0.3333;1.0;7
com.amaze.filemanager.ui.notifications.NotificationConstants;7;11;1;1;1;19;44;0;3;12;27;0;3;15;0;0;13;1.0;1.0;16
com.amaze.filemanager.ui.provider.UtilitiesProvider;1;22;2;1;2;5;7;2;3;2;18;0;4;16;0;0;10;0.3333;0.3333;4
com.amaze.filemanager.ui.strings.StorageNamingHelper;2;4;0;1;1;4;10;0;1;0;14;N/A;2;14;0;0;4;0.0;1.0;6
com.amaze.filemanager.ui.theme.AppTheme;N/A;N/A;N/A;N/A;N/A;N/A;50;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.ui.theme.AppThemeManager;1;5;2;1;1;5;7;0;2;3;18;0;3;15;0;0;7;1.0;1.0;3
com.amaze.filemanager.ui.views.CheckableCircleView;1;3;2;2;1;18;15;0;2;170;638;0;4;641;1;0;18;0.6667;1.0;5
com.amaze.filemanager.ui.views.CircleGradientDrawable;2;3;2;3;1;14;10;0;1;11;147;0;4;152;0;0;11;0.0;1.0;6
com.amaze.filemanager.ui.views.CircularColorsView;4;1;2;2;1;33;34;0;3;173;643;0;6;643;1;0;25;0.8333;1.0;9
com.amaze.filemanager.ui.views.CustomLinearSmoothScroller;3;0;4;2;2;46;92;0;15;23;71;0;16;48;0;0;46;0.1143;1.0;46
com.amaze.filemanager.ui.views.CustomZoomFocusChange;0;2;0;1;1;6;5;0;1;0;14;0;1;14;0;0;5;0.0;1.0;2
com.amaze.filemanager.ui.views.DisablableViewPager;0;2;0;4;1;3;5;1;1;254;1015;0;4;966;2;0;7;1.0;0.6667;6
com.amaze.filemanager.ui.views.DividerItemDecoration;5;2;1;2;1;24;34;0;1;6;29;0;4;23;2;0;24;1.0;1.0;11
com.amaze.filemanager.ui.views.FastScroller;0;11;5;4;1;99;87;0;15;184;900;0;18;900;1;0;63;0.2833;1.0;31
com.amaze.filemanager.ui.views.FastScroller.ScrollListener;1;1;0;2;1;1;3;0;0;0;16;0;1;16;1;0;2;0.0;1.0;3
com.amaze.filemanager.ui.views.FastScroller.onTouchListener;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
